Date,Valeur_des_transactions,Capitalisation_Actions,Capitalisation_Obligations,BRVM_10,BRVM_Composite,Taux_BRVM_10,BRVM_PRESTIGE
23/02/2026 - 00:00,2 010 811 021,15 608 855 881 974,11 468 440 032 929,"188,22","404,84","+0,47%","160,32"
20/02/2026 - 00:00,1 991 948 547,15 513 955 202 778,11 469 604 356 929,"187,34","402,38","+2,47%","159,42"
19/02/2026 - 00:00,1 678 593 756,15 201 791 859 646,11 466 234 923 029,"182,83","394,28","+0,46%","155,42"
18/02/2026 - 00:00,8 987 286 324,15 121 180 172 218,11 466 103 646 969,"182,00","392,19","-0,27%","154,17"
17/02/2026 - 00:00,1 657 684 489,15 162 992 977 636,11 477 621 519 269,"182,50","393,27","+0,79%","154,99"
16/02/2026 - 00:00,1 432 758 833,15 068 875 915 712,11 476 057 364 269,"181,07","390,83","+0,37%","154,66"
12/02/2026 - 00:00,1 380 673 791,14 778 328 116 284,11 493 529 844 963,"178,48","383,30","+0,11%","153,91"
11/02/2026 - 00:00,2 302 373 652,14 723 465 128 487,11 493 529 844 963,"178,28","381,87","+0,29%","153,94"
09/02/2026 - 00:00,1 274 474 077,14 532 550 804 440,11 509 942 216 963,"177,13","376,92","+0,83%","153,82"
06/02/2026 - 00:00,1 439 145 379,14 361 572 437 408,11 513 960 788 663,"175,68","372,49","+0,58%","152,42"
05/02/2026 - 00:00,1 986 363 410,14 251 235 321 508,11 519 452 112 513,"174,66","369,63","+0,45%","152,04"
04/02/2026 - 00:00,1 167 717 758,14 180 492 914 403,11 520 982 112 513,"173,88","367,79","+0,68%","150,98"
20/01/2026 - 00:00,671 161 203,13 551 124 179 991,11 351 407 434 366,"167,22","351,47","-0,27%","144,83"
15/01/2026 - 00:00,976 648 786,13 442 571 834 251,11 366 932 310 936,"166,36","348,65","+0,69%","143,35"
13/01/2026 - 00:00,701 911 461,13 342 662 032 571,11 364 342 387 336,"165,38","346,06","+0,21%","142,94"
12/01/2026 - 00:00,441 437 063,13 281 834 477 004,11 368 373 637 336,"165,04","344,48","+0,67%","143,03"
09/01/2026 - 00:00,3 587 640 966,13 184 345 965 614,11 434 135 893 606,"163,94","341,95","-0,39%","142,04"
06/01/2026 - 00:00,680 964 364,13 191 382 644 684,11 444 487 066 956,"164,10","342,14","+0,76%","143,16"
02/01/2026 - 00:00,932 712 451,13 281 855 595 501,11 449 699 343 356,"165,32","344,48","-0,55%","143,48"
31/12/2025 - 00:00,1 746 335 526,13 330 711 875 596,11 449 699 343 356,"166,24","345,75","+1,97%","144,25"
30/12/2025 - 00:00,3 820 321 018,13 107 618 414 461,11 428 816 889 682,"163,03","339,96","-0,14%","142,16"
29/12/2025 - 00:00,5 059 521 562,13 128 684 432 331,11 428 828 734 461,"163,26","340,51","-0,04%","140,77"
26/12/2025 - 00:00,4 051 221 388,13 142 211 244 734,11 427 952 668 261,"163,33","340,86","+0,06%","140,98"
24/12/2025 - 00:00,3 145 809 600,13 099 269 925 001,11 411 697 759 257,"163,24","339,75","+0,21%","139,83"
23/12/2025 - 00:00,1 692 694 451,13 092 659 947 876,11 405 425 419 720,"162,89","339,58","-0,46%","139,52"
22/12/2025 - 00:00,1 881 048 827,13 138 915 095 146,11 411 324 451 657,"163,64","340,78","-0,75%","139,72"
19/12/2025 - 00:00,6 828 480 104,13 256 662 571 476,11 412 257 077 857,"164,88","343,83","+0,63%","141,59"
18/12/2025 - 00:00,2 471 692 024,13 211 346 670 786,11 413 476 152 277,"163,84","342,66","-1,09%","140,51"
